subject_id/scan,0010035_session_1,0010069_session_1,0010015_session_1,0010085_session_1,0010032_session_1,1023964_session_1,0010072_session_1,0010029_session_1,0010089_session_1,2821683_session_1,3650634_session_1,0010066_session_1,0010011_session_1,0010038_session_1,0010056_session_1,2054438_session_1,2854839_session_1,0010009_session_1,1359325_session_1,0010092_session_1,2570769_session_1,3163200_session_1,0010084_session_1,0010106_session_1,0010073_session_1,2260910_session_1,0010093_session_1,0010128_session_1,3174224_session_1,0010123_session_1,0010103_session_1,0010017_session_1,0010081_session_1,1000804_session_1,0010007_session_1,0010063_session_1,0010096_session_1,0010117_session_1,2773205_session_1,0010047_session_1,0010048_session_1,0010075_session_1,0010024_session_1,0010052_session_1,1187766_session_1,2136051_session_1,1875084_session_1,0010036_session_1,1471736_session_1,3235580_session_1,1737393_session_1,0010013_session_1,0010043_session_1,0010022_session_1,0010014_session_1,1918630_session_1,0010070_session_1,0010051_session_1,0010104_session_1,0010050_session_1,2996531_session_1,0010100_session_1,2497695_session_1,2030383_session_1,1854959_session_1,3433846_session_1,1884448_session_1,1567356_session_1,0010120_session_1,1497055_session_1,0010026_session_1,0010054_session_1,0010125_session_1,2735617_session_1,0010102_session_1,0010061_session_1,0010049_session_1,0010119_session_1,0010034_session_1,0010044_session_1,2297413_session_1,3619797_session_1,1208795_session_1,2950672_session_1,0010028_session_1,0010067_session_1,0010010_session_1,0010083_session_1,1517240_session_1,3601861_session_1,3011311_session_1,0010110_session_1,0010109_session_1,1995121_session_1,2682736_session_1,0010122_session_1,0010053_session_1,0010126_session_1,0010071_session_1,0010076_session_1,0010114_session_1,0010087_session_1,2107638_session_1,1283494_session_1,0010045_session_1,0010090_session_1,1992284_session_1,0010068_session_1,0010074_session_1,0010025_session_1,2730704_session_1,0010077_session_1,0010020_session_1,0010112_session_1,0010124_session_1,0010039_session_1,0010086_session_1,0010079_session_1,1127915_session_1,0010046_session_1,0010012_session_1,1435954_session_1,0010113_session_1,0010004_session_1,0010003_session_1,0010107_session_1,3349205_session_1,0010129_session_1,2991307_session_1,9907452_session_1,2230510_session_1,0010082_session_1,2741068_session_1,0010006_session_1,0010018_session_1,0010002_session_1,2907383_session_1,0010116_session_1,0010033_session_1,0010101_session_1,0010111_session_1,0010099_session_1,0010040_session_1,3457975_session_1,2306976_session_1,1099481_session_1,3518345_session_1,0010023_session_1,1780174_session_1,0010058_session_1,0010037_session_1,1057962_session_1,0010078_session_1,0010019_session_1,0010118_session_1,1511464_session_1,0010042_session_1,0010059_session_1,3653737_session_1,0010088_session_1,0010094_session_1,1740607_session_1,1934623_session_1,3542588_session_1,0010031_session_1,0010021_session_1,0010005_session_1,0010057_session_1,3243657_session_1,0010008_session_1,0010091_session_1,0010030_session_1,0010062_session_1,0010095_session_1,0010065_session_1,0010121_session_1,0010108_session_1,1700637_session_1,0010041_session_1,3441455_session_1,3349423_session_1,0010115_session_1,1320247_session_1,0010080_session_1,0010060_session_1,2983819_session_1,0010064_session_1,0010097_session_1,rest_1_rest,rest_2_rest
1567356_session_1/rest_2_rest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0010072_session_1/rest_1_rest,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0010083_session_1/rest_2_rest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0010011_session_1/rest_1_rest,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0010054_session_1/rest_2_rest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1435954_session_1/rest_2_rest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0010080_session_1/rest_2_rest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
0010125_session_1/rest_2_rest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1497055_session_1/rest_1_rest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0010051_session_1/rest_2_rest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
