"sample","site","keep"
"Discovery Sample","Ann Arbor",TRUE
"Discovery Sample","Ann Arbor",TRUE
"Discovery Sample","Ann Arbor",FALSE
"Discovery Sample","Baltimore",TRUE
"Discovery Sample","Baltimore",TRUE
"Discovery Sample","Baltimore",TRUE
"Discovery Sample","Baltimore",TRUE
"Discovery Sample","Baltimore",TRUE
"Discovery Sample","Baltimore",TRUE
"Discovery Sample","Baltimore",TRUE
"Discovery Sample","Bangor",TRUE
"Discovery Sample","Bangor",TRUE
"Discovery Sample","Bangor",TRUE
"Discovery Sample","Bangor",TRUE
"Discovery Sample","Bangor",TRUE
"Discovery Sample","Bangor",TRUE
"Discovery Sample","Bangor",TRUE
"Discovery Sample","Beijing A",TRUE
"Discovery Sample","Beijing A",TRUE
"Discovery Sample","Beijing A",TRUE
"Discovery Sample","Beijing A",TRUE
"Discovery Sample","Beijing A",TRUE
"Discovery Sample","Beijing A",TRUE
"Discovery Sample","Beijing A",TRUE
"Discovery Sample","Beijing A",TRUE
"Discovery Sample","Beijing A",TRUE
"Discovery Sample","Beijing A",TRUE
"Discovery Sample","Beijing A",TRUE
"Discovery Sample","Beijing A",TRUE
"Discovery Sample","Beijing A",TRUE
"Discovery Sample","Beijing A",TRUE
"Discovery Sample","Beijing A",TRUE
"Discovery Sample","Beijing A",TRUE
"Discovery Sample","Beijing A",TRUE
"Discovery Sample","Beijing A",TRUE
"Discovery Sample","Beijing A",TRUE
"Discovery Sample","Beijing A",TRUE
"Discovery Sample","Beijing A",TRUE
"Discovery Sample","Beijing A",TRUE
"Discovery Sample","Beijing A",TRUE
"Discovery Sample","Beijing A",TRUE
"Discovery Sample","Beijing A",TRUE
"Discovery Sample","Beijing A",TRUE
"Discovery Sample","Beijing A",TRUE
"Discovery Sample","Beijing A",TRUE
"Discovery Sample","Beijing A",TRUE
"Discovery Sample","Beijing A",TRUE
"Discovery Sample","Beijing A",TRUE
"Discovery Sample","Beijing A",TRUE
"Discovery Sample","Beijing A",TRUE
"Discovery Sample","Beijing A",TRUE
"Discovery Sample","Beijing A",TRUE
"Discovery Sample","Beijing A",TRUE
"Discovery Sample","Beijing A",TRUE
"Discovery Sample","Beijing A",TRUE
"Discovery Sample","Beijing A",TRUE
"Discovery Sample","Beijing A",TRUE
