,Id,release,dir,exists,mean_FD,max_relative_motion
0,M10936018,1,pipeline_OakhurstCity/_compcor_ncomponents_5_linear1.motion1.compcor1.CSF_0.98_GM_0.7_WM_0.98/M10936018_session_1/scan_RfMRI_std_2500_rest_RPI,False,0.0,0.0
1,M10918439,1,pipeline_OakhurstCity/_compcor_ncomponents_5_linear1.motion1.compcor1.CSF_0.98_GM_0.7_WM_0.98/M10918439_session_1/scan_RfMRI_std_2500_rest_RPI,True,0.0539627733333,0.206800507736
2,M10948071,1,pipeline_OakhurstCity/_compcor_ncomponents_5_linear1.motion1.compcor1.CSF_0.98_GM_0.7_WM_0.98/M10948071_session_1/scan_RfMRI_std_2500_rest_RPI,True,0.142470149167,1.15579289667
3,M10997570,1,pipeline_OakhurstCity/_compcor_ncomponents_5_linear1.motion1.compcor1.CSF_0.98_GM_0.7_WM_0.98/M10997570_session_1/scan_RfMRI_std_2500_rest_RPI,True,0.7776917725,2.2617431176
4,M10903872,1,pipeline_OakhurstCity/_compcor_ncomponents_5_linear1.motion1.compcor1.CSF_0.98_GM_0.7_WM_0.98/M10903872_session_1/scan_RfMRI_std_2500_rest_RPI,True,0.132836255833,0.804254468436
5,M10909459,1,pipeline_OakhurstCity/_compcor_ncomponents_5_linear1.motion1.compcor1.CSF_0.98_GM_0.7_WM_0.98/M10909459_session_1/scan_RfMRI_std_2500_rest_RPI,True,0.0499891470833,0.159300031387
6,M10979454,1,pipeline_OakhurstCity/_compcor_ncomponents_5_linear1.motion1.compcor1.CSF_0.98_GM_0.7_WM_0.98/M10979454_session_1/scan_RfMRI_std_2500_rest_RPI,True,0.0855562866667,0.26424912488
7,M10999155,1,pipeline_OakhurstCity/_compcor_ncomponents_5_linear1.motion1.compcor1.CSF_0.98_GM_0.7_WM_0.98/M10999155_session_1/scan_RfMRI_std_2500_rest_RPI,True,2.66536194167,6.64018075432
8,M10950716,1,pipeline_OakhurstCity/_compcor_ncomponents_5_linear1.motion1.compcor1.CSF_0.98_GM_0.7_WM_0.98/M10950716_session_1/scan_RfMRI_std_2500_rest_RPI,True,0.2543673325,0.722113702958
9,M10961513,1,pipeline_OakhurstCity/_compcor_ncomponents_5_linear1.motion1.compcor1.CSF_0.98_GM_0.7_WM_0.98/M10961513_session_1/scan_RfMRI_std_2500_rest_RPI,True,0.31553194,1.02504511608
10,M10930249,1,pipeline_OakhurstCity/_compcor_ncomponents_5_linear1.motion1.compcor1.CSF_0.98_GM_0.7_WM_0.98/M10930249_session_1/scan_RfMRI_std_2500_rest_RPI,True,0.654351515,1.61446949801
11,M10932088,1,pipeline_OakhurstCity/_compcor_ncomponents_5_linear1.motion1.compcor1.CSF_0.98_GM_0.7_WM_0.98/M10932088_session_1/scan_RfMRI_std_2500_rest_RPI,True,0.143275895,0.560959579649
12,M10965660,1,pipeline_OakhurstCity/_compcor_ncomponents_5_linear1.motion1.compcor1.CSF_0.98_GM_0.7_WM_0.98/M10965660_session_1/scan_RfMRI_std_2500_rest_RPI,True,0.0846122116667,0.586046841131
13,M10957873,1,pipeline_OakhurstCity/_compcor_ncomponents_5_linear1.motion1.compcor1.CSF_0.98_GM_0.7_WM_0.98/M10957873_session_1/scan_RfMRI_std_2500_rest_RPI,True,0.176524053333,0.64480441996
14,M10951580,1,pipeline_OakhurstCity/_compcor_ncomponents_5_linear1.motion1.compcor1.CSF_0.98_GM_0.7_WM_0.98/M10951580_session_1/scan_RfMRI_std_2500_rest_RPI,True,0.0853363758333,0.282962117606
15,M10968013,1,pipeline_OakhurstCity/_compcor_ncomponents_5_linear1.motion1.compcor1.CSF_0.98_GM_0.7_WM_0.98/M10968013_session_1/scan_RfMRI_std_2500_rest_RPI,True,0.0975397324167,0.460474972175
16,M10952384,1,pipeline_OakhurstCity/_compcor_ncomponents_5_linear1.motion1.compcor1.CSF_0.98_GM_0.7_WM_0.98/M10952384_session_1/scan_RfMRI_std_2500_rest_RPI,True,0.0679529058333,0.232388317262
