,orig_id,site,id,func_run,mean_FD
0,1024011,BeijingEOEC,BeijingEOEC_1024011,1,0.126954509167
1,1082398,BeijingEOEC,BeijingEOEC_1082398,1,0.0406593754583
2,1122550,BeijingEOEC,BeijingEOEC_1122550,1,0.0367999266667
3,1131499,BeijingEOEC,BeijingEOEC_1131499,1,0.07513306375
4,1312359,BeijingEOEC,BeijingEOEC_1312359,1,0.06493782125
5,1381466,BeijingEOEC,BeijingEOEC_1381466,1,0.0650950820833
6,1465338,BeijingEOEC,BeijingEOEC_1465338,1,0.0591140583333
7,1525518,BeijingEOEC,BeijingEOEC_1525518,1,0.103068685
8,1684516,BeijingEOEC,BeijingEOEC_1684516,1,0.129057915417
9,1714208,BeijingEOEC,BeijingEOEC_1714208,1,0.0955325920833
10,1725227,BeijingEOEC,BeijingEOEC_1725227,1,0.1487770925
11,1760155,BeijingEOEC,BeijingEOEC_1760155,1,0.08703181125
12,1767783,BeijingEOEC,BeijingEOEC_1767783,1,0.0722726479167
13,1907043,BeijingEOEC,BeijingEOEC_1907043,1,0.111002889583
14,1925025,BeijingEOEC,BeijingEOEC_1925025,1,0.11500414125
15,2021733,BeijingEOEC,BeijingEOEC_2021733,1,0.133788803333
16,2092454,BeijingEOEC,BeijingEOEC_2092454,1,0.151030376667
17,2466100,BeijingEOEC,BeijingEOEC_2466100,1,0.286122447083
18,2516383,BeijingEOEC,BeijingEOEC_2516383,1,0.06687766875
19,2662830,BeijingEOEC,BeijingEOEC_2662830,1,0.0526077066667
20,2692262,BeijingEOEC,BeijingEOEC_2692262,1,0.0987166404167
21,2772551,BeijingEOEC,BeijingEOEC_2772551,1,0.30774811125
22,2780400,BeijingEOEC,BeijingEOEC_2780400,1,0.0466261866667
23,2796604,BeijingEOEC,BeijingEOEC_2796604,1,0.0524113033333
24,2860449,BeijingEOEC,BeijingEOEC_2860449,1,0.168004271667
25,2945687,BeijingEOEC,BeijingEOEC_2945687,1,0.0761364695833
26,3057549,BeijingEOEC,BeijingEOEC_3057549,1,0.05748797625
27,3235222,BeijingEOEC,BeijingEOEC_3235222,1,0.0760473554167
28,3258811,BeijingEOEC,BeijingEOEC_3258811,1,0.113479272083
29,3265732,BeijingEOEC,BeijingEOEC_3265732,1,0.0556961583333
30,3408166,BeijingEOEC,BeijingEOEC_3408166,1,0.0653771216667
31,3457797,BeijingEOEC,BeijingEOEC_3457797,1,0.0665713075
32,3534106,BeijingEOEC,BeijingEOEC_3534106,1,0.171465066667
33,3550267,BeijingEOEC,BeijingEOEC_3550267,1,0.161328733333
34,3563234,BeijingEOEC,BeijingEOEC_3563234,1,0.0883454179167
35,3697986,BeijingEOEC,BeijingEOEC_3697986,1,0.049078012625
36,3814313,BeijingEOEC,BeijingEOEC_3814313,1,0.18009214875
37,3856302,BeijingEOEC,BeijingEOEC_3856302,1,0.197227680417
38,3938118,BeijingEOEC,BeijingEOEC_3938118,1,0.182647837917
39,3942935,BeijingEOEC,BeijingEOEC_3942935,1,0.0809796695833
40,4152763,BeijingEOEC,BeijingEOEC_4152763,1,0.124576400833
41,4207406,BeijingEOEC,BeijingEOEC_4207406,1,0.0520741533333
42,4233715,BeijingEOEC,BeijingEOEC_4233715,1,0.1970508125
43,6579735,BeijingEOEC,BeijingEOEC_6579735,1,0.0669264533333
44,6984799,BeijingEOEC,BeijingEOEC_6984799,1,0.0729968375
45,7289877,BeijingEOEC,BeijingEOEC_7289877,1,0.038526166375
46,8384854,BeijingEOEC,BeijingEOEC_8384854,1,0.0724280583333
47,9639203,BeijingEOEC,BeijingEOEC_9639203,1,0.07221134625
48,0003001,Berlin,Berlin_0003001,1,0.0398052984694
49,0003001,Berlin,Berlin_0003001,2,0.0428357423469
50,0003002,Berlin,Berlin_0003002,1,0.0451645968367
51,0003002,Berlin,Berlin_0003002,2,0.0395444954082
52,0003004,Berlin,Berlin_0003004,1,0.0695741255102
53,0003004,Berlin,Berlin_0003004,2,0.0715087413265
54,0003006,Berlin,Berlin_0003006,1,0.0741502816327
55,0003006,Berlin,Berlin_0003006,2,0.0652853367347
56,0003007,Berlin,Berlin_0003007,1,0.0767401280612
57,0003007,Berlin,Berlin_0003007,2,0.0440530266327
58,0003008,Berlin,Berlin_0003008,1,0.0804514163265
59,0003008,Berlin,Berlin_0003008,2,0.0461170979592
60,0003009,Berlin,Berlin_0003009,1,0.0928439438776
61,0003009,Berlin,Berlin_0003009,2,0.0560302473469
62,0003010,Berlin,Berlin_0003010,1,0.0710074908163
63,0003010,Berlin,Berlin_0003010,2,0.0561323367347
64,0003011,Berlin,Berlin_0003011,1,0.0800009413265
65,0003011,Berlin,Berlin_0003011,2,0.0794242418367
66,0003012,Berlin,Berlin_0003012,1,0.0667012219388
67,0003012,Berlin,Berlin_0003012,2,0.0599797836735
68,0003013,Berlin,Berlin_0003013,1,0.104953432653
69,0003013,Berlin,Berlin_0003013,2,0.0927030617347
70,0003014,Berlin,Berlin_0003014,1,0.106490217347
71,0003014,Berlin,Berlin_0003014,2,0.0764823938776
72,0003015,Berlin,Berlin_0003015,1,0.0674742826531
73,0003015,Berlin,Berlin_0003015,2,0.0692603209184
74,0003016,Berlin,Berlin_0003016,1,0.0866954765306
75,0003016,Berlin,Berlin_0003016,2,0.0609724770408
76,0003017,Berlin,Berlin_0003017,1,0.135030826531
77,0003017,Berlin,Berlin_0003017,2,0.143710852041
78,0003018,Berlin,Berlin_0003018,1,0.0690648270408
79,0003018,Berlin,Berlin_0003018,2,0.0706762678571
80,0003020,Berlin,Berlin_0003020,1,0.0968720719388
81,0003020,Berlin,Berlin_0003020,2,0.0830892632653
82,0003021,Berlin,Berlin_0003021,1,0.129177809184
83,0003021,Berlin,Berlin_0003021,2,0.0958808443878
84,0003022,Berlin,Berlin_0003022,1,0.127898405612
85,0003022,Berlin,Berlin_0003022,2,0.129539477041
86,0003023,Berlin,Berlin_0003023,1,0.076114352551
87,0003023,Berlin,Berlin_0003023,2,0.0687386561224
88,0003024,Berlin,Berlin_0003024,1,0.054952022449
89,0003024,Berlin,Berlin_0003024,2,0.044418180102
90,0003025,Berlin,Berlin_0003025,1,0.0798156214286
91,0003025,Berlin,Berlin_0003025,2,0.0616242163265
92,0003026,Berlin,Berlin_0003026,1,0.120497861224
93,0003026,Berlin,Berlin_0003026,2,0.0747585513776
94,0003032,Berlin,Berlin_0003032,1,0.195373713265
95,0003032,Berlin,Berlin_0003032,2,0.176102327041
96,0003033,Berlin,Berlin_0003033,1,0.0697333714286
97,0003033,Berlin,Berlin_0003033,2,0.0631190484694
98,0003034,Berlin,Berlin_0003034,1,0.0506679234694
99,0003034,Berlin,Berlin_0003034,2,0.062476044898
100,0003036,Berlin,Berlin_0003036,1,0.0451014922959
101,0003036,Berlin,Berlin_0003036,2,0.0924119647959
102,0003037,Berlin,Berlin_0003037,1,0.0821173642857
103,0003037,Berlin,Berlin_0003037,2,0.0790183443878
104,0003038,Berlin,Berlin_0003038,1,0.139771070408
105,0003038,Berlin,Berlin_0003038,2,0.214428798469
106,0003039,Berlin,Berlin_0003039,1,0.0794948479592
