,site,orig_id,id,func_run,anat_infile,func_infile,anat_outdir,func_outdir,mean_FD,max_FD,mean_relative_motion,max_relative_motion,num_movements,mean_cor,mean_zcor
185,Rockland,2541244,Rockland_2541244,1,/home/data/Originals/Rockland/raw/2541244/session_1/MPRAGE_1/defaced_MPRAGE.nii.gz,/home/data/Originals/Rockland/raw/2541244/session_1/BOLDrestingCAP_1/BOLDrestingCAP.nii.gz,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/2541244_session_1/scan,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/2541244_session_1/scan_BOLDrestingCAP_1_BOLDrestingCAP,0.1360920125,0.992717,0.160070986383,0.460502008682,0,0.589377578005,-2.14212667254
186,Rockland,2784584,Rockland_2784584,1,/home/data/Originals/Rockland/raw/2784584/session_1/MPRAGE_1/defaced_MPRAGE.nii.gz,/home/data/Originals/Rockland/raw/2784584/session_1/BOLDrestingCAP_1/BOLDrestingCAP.nii.gz,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/2784584_session_1/scan,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/2784584_session_1/scan_BOLDrestingCAP_1_BOLDrestingCAP,0.230508967187,1.92855,0.322590811647,1.10547002221,1,0.597746541314,-2.0709324076
191,Rockland,4097119,Rockland_4097119,1,/home/data/Originals/Rockland/raw/4097119/session_1/MPRAGE_1/defaced_MPRAGE.nii.gz,/home/data/Originals/Rockland/raw/4097119/session_1/BOLDrestingCAP_1/BOLDrestingCAP.nii.gz,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/4097119_session_1/scan,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/4097119_session_1/scan_BOLDrestingCAP_1_BOLDrestingCAP,0.212662530859,0.785664,0.105972739265,0.391551133315,0,0.48764840919,-2.9340918056
192,Rockland,4143704,Rockland_4143704,1,/home/data/Originals/Rockland/raw/4143704/session_1/MPRAGE_1/defaced_MPRAGE.nii.gz,/home/data/Originals/Rockland/raw/4143704/session_1/BOLDrestingCAP_1/BOLDrestingCAP.nii.gz,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/4143704_session_1/scan,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/4143704_session_1/scan_BOLDrestingCAP_1_BOLDrestingCAP,0.20718535,1.29433,0.299340829432,0.833766933861,0,0.5640769906,-2.35104755064
195,Rockland,5461463,Rockland_5461463,1,/home/data/Originals/Rockland/raw/5461463/session_1/MPRAGE_1/defaced_MPRAGE.nii.gz,/home/data/Originals/Rockland/raw/5461463/session_1/BOLDrestingCAP_1/BOLDrestingCAP.nii.gz,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/5461463_session_1/scan,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/5461463_session_1/scan_BOLDrestingCAP_1_BOLDrestingCAP,0.141291475,2.73652,0.23528281315,0.546068365683,0,0.590890012687,-2.12934094668
197,Rockland,6692978,Rockland_6692978,1,/home/data/Originals/Rockland/raw/6692978/session_1/MPRAGE_1/defaced_MPRAGE.nii.gz,/home/data/Originals/Rockland/raw/6692978/session_1/BOLDrestingCAP_1/BOLDrestingCAP.nii.gz,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/6692978_session_1/scan,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/6692978_session_1/scan_BOLDrestingCAP_1_BOLDrestingCAP,0.308227232813,1.33134,0.225942092798,0.596653081782,0,0.586455705946,-2.16672887731
210,Rockland,4099085,Rockland_4099085,1,/home/data/Originals/Rockland/raw/4099085/session_1/MPRAGE_1/defaced_MPRAGE.nii.gz,/home/data/Originals/Rockland/raw/4099085/session_1/BOLDrestingCAP_1/BOLDrestingCAP.nii.gz,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/4099085_session_1/scan,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/4099085_session_1/scan_BOLDrestingCAP_1_BOLDrestingCAP,0.534028842578,1.46085,0.26220431599,0.82507951132,0,0.592450762676,-2.11610990933
216,Rockland,1525492,Rockland_1525492,1,/home/data/Originals/Rockland/raw/1525492/session_1/MPRAGE_1/defaced_MPRAGE.nii.gz,/home/data/Originals/Rockland/raw/1525492/session_1/BOLDrestingCAP_1/BOLDrestingCAP.nii.gz,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/1525492_session_1/scan,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/1525492_session_1/scan_BOLDrestingCAP_1_BOLDrestingCAP,0.266463631641,2.2995,0.445157179925,1.09954067683,1,0.602440373164,-2.03051654432
217,Rockland,1943306,Rockland_1943306,1,/home/data/Originals/Rockland/raw/1943306/session_1/MPRAGE_1/defaced_MPRAGE.nii.gz,/home/data/Originals/Rockland/raw/1943306/session_1/BOLDrestingCAP_1/BOLDrestingCAP.nii.gz,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/1943306_session_1/scan,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/1943306_session_1/scan_BOLDrestingCAP_1_BOLDrestingCAP,0.129965786719,1.46273,0.163538118958,0.912770644795,0,0.603109885164,-2.02472261008
218,Rockland,3304648,Rockland_3304648,1,/home/data/Originals/Rockland/raw/3304648/session_1/MPRAGE_1/defaced_MPRAGE.nii.gz,/home/data/Originals/Rockland/raw/3304648/session_1/BOLDrestingCAP_1/BOLDrestingCAP.nii.gz,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/3304648_session_1/scan,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/3304648_session_1/scan_BOLDrestingCAP_1_BOLDrestingCAP,0.222499942969,1.94165,0.24670659727,0.562677172098,0,0.567647764289,-2.32210695866
222,Rockland,3815065,Rockland_3815065,1,/home/data/Originals/Rockland/raw/3815065/session_1/MPRAGE_1/defaced_MPRAGE.nii.gz,/home/data/Originals/Rockland/raw/3815065/session_1/BOLDrestingCAP_1/BOLDrestingCAP.nii.gz,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/3815065_session_1/scan,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/3815065_session_1/scan_BOLDrestingCAP_1_BOLDrestingCAP,0.0819238753906,0.988321,0.171916386963,0.661116706792,0,0.598178903482,-2.06722441471
224,Rockland,8317157,Rockland_8317157,1,/home/data/Originals/Rockland/raw/8317157/session_1/MPRAGE_1/defaced_MPRAGE.nii.gz,/home/data/Originals/Rockland/raw/8317157/session_1/BOLDrestingCAP_1/BOLDrestingCAP.nii.gz,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/8317157_session_1/scan,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/8317157_session_1/scan_BOLDrestingCAP_1_BOLDrestingCAP,0.0712541179687,1.49813,0.156220732519,0.357706136375,0,0.566483882478,-2.33155896752
225,Rockland,9645370,Rockland_9645370,1,/home/data/Originals/Rockland/raw/9645370/session_1/MPRAGE_1/defaced_MPRAGE.nii.gz,/home/data/Originals/Rockland/raw/9645370/session_1/BOLDrestingCAP_1/BOLDrestingCAP.nii.gz,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/9645370_session_1/scan,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/9645370_session_1/scan_BOLDrestingCAP_1_BOLDrestingCAP,0.0813255589844,0.942834,0.167670976759,0.411004829655,0,0.500886373715,-2.83757224784
227,Rockland,1522653,Rockland_1522653,1,/home/data/Originals/Rockland/raw/1522653/session_1/MPRAGE_1/defaced_MPRAGE.nii.gz,/home/data/Originals/Rockland/raw/1522653/session_1/BOLDrestingCAP_1/BOLDrestingCAP.nii.gz,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/1522653_session_1/scan,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/1522653_session_1/scan_BOLDrestingCAP_1_BOLDrestingCAP,0.17173270625,0.74326,0.112912556265,0.385683912032,0,0.582598494601,-2.19901067555
228,Rockland,1709141,Rockland_1709141,1,/home/data/Originals/Rockland/raw/1709141/session_1/MPRAGE_1/defaced_MPRAGE.nii.gz,/home/data/Originals/Rockland/raw/1709141/session_1/BOLDrestingCAP_1/BOLDrestingCAP.nii.gz,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/1709141_session_1/scan,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/1709141_session_1/scan_BOLDrestingCAP_1_BOLDrestingCAP,0.120609679297,1.41818,0.220474042179,0.611057812322,0,0.577928209608,-2.2378046943
229,Rockland,2113846,Rockland_2113846,1,/home/data/Originals/Rockland/raw/2113846/session_1/MPRAGE_1/defaced_MPRAGE.nii.gz,/home/data/Originals/Rockland/raw/2113846/session_1/BOLDrestingCAP_1/BOLDrestingCAP.nii.gz,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/2113846_session_1/scan,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/2113846_session_1/scan_BOLDrestingCAP_1_BOLDrestingCAP,0.320581547266,2.35454,0.25859149419,0.892309027187,0,0.594704981152,-2.09693336227
230,Rockland,2221971,Rockland_2221971,1,/home/data/Originals/Rockland/raw/2221971/session_1/MPRAGE_1/defaced_MPRAGE.nii.gz,/home/data/Originals/Rockland/raw/2221971/session_1/BOLDrestingCAP_1/BOLDrestingCAP.nii.gz,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/2221971_session_1/scan,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/2221971_session_1/scan_BOLDrestingCAP_1_BOLDrestingCAP,0.157082071484,2.23068,0.378230780506,1.05112482608,1,0.600683661416,-2.04568427904
