,site,orig_id,id,func_run,anat_infile,func_infile,anat_outdir,func_outdir,mean_FD,max_FD,mean_relative_motion,max_relative_motion,num_movements,mean_cor,mean_zcor
191,Rockland,4097119,Rockland_4097119,1,/home/data/Originals/Rockland/raw/4097119/session_1/MPRAGE_1/defaced_MPRAGE.nii.gz,/home/data/Originals/Rockland/raw/4097119/session_1/BOLDrestingCAP_1/BOLDrestingCAP.nii.gz,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/4097119_session_1/scan,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/4097119_session_1/scan_BOLDrestingCAP_1_BOLDrestingCAP,0.212662530859,0.785664,0.105972739265,0.391551133315,0,0.354021769964,-2.97674927555
192,Rockland,4143704,Rockland_4143704,1,/home/data/Originals/Rockland/raw/4143704/session_1/MPRAGE_1/defaced_MPRAGE.nii.gz,/home/data/Originals/Rockland/raw/4143704/session_1/BOLDrestingCAP_1/BOLDrestingCAP.nii.gz,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/4143704_session_1/scan,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/4143704_session_1/scan_BOLDrestingCAP_1_BOLDrestingCAP,0.20718535,1.29433,0.299340829432,0.833766933861,0,0.440700661648,-2.28023287871
195,Rockland,5461463,Rockland_5461463,1,/home/data/Originals/Rockland/raw/5461463/session_1/MPRAGE_1/defaced_MPRAGE.nii.gz,/home/data/Originals/Rockland/raw/5461463/session_1/BOLDrestingCAP_1/BOLDrestingCAP.nii.gz,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/5461463_session_1/scan,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/5461463_session_1/scan_BOLDrestingCAP_1_BOLDrestingCAP,0.141291475,2.73652,0.23528281315,0.546068365683,0,0.460587362286,-2.11157691628
198,Rockland,6913939,Rockland_6913939,1,/home/data/Originals/Rockland/raw/6913939/session_1/MPRAGE_1/defaced_MPRAGE.nii.gz,/home/data/Originals/Rockland/raw/6913939/session_1/BOLDrestingCAP_1/BOLDrestingCAP.nii.gz,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/6913939_session_1/scan,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/6913939_session_1/scan_BOLDrestingCAP_1_BOLDrestingCAP,0.172387964844,1.52081,0.334388178147,0.782986551609,0,0.469953835373,-2.03078830853
210,Rockland,4099085,Rockland_4099085,1,/home/data/Originals/Rockland/raw/4099085/session_1/MPRAGE_1/defaced_MPRAGE.nii.gz,/home/data/Originals/Rockland/raw/4099085/session_1/BOLDrestingCAP_1/BOLDrestingCAP.nii.gz,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/4099085_session_1/scan,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/4099085_session_1/scan_BOLDrestingCAP_1_BOLDrestingCAP,0.534028842578,1.46085,0.26220431599,0.82507951132,0,0.468210944815,-2.04588961551
218,Rockland,3304648,Rockland_3304648,1,/home/data/Originals/Rockland/raw/3304648/session_1/MPRAGE_1/defaced_MPRAGE.nii.gz,/home/data/Originals/Rockland/raw/3304648/session_1/BOLDrestingCAP_1/BOLDrestingCAP.nii.gz,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/3304648_session_1/scan,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/3304648_session_1/scan_BOLDrestingCAP_1_BOLDrestingCAP,0.222499942969,1.94165,0.24670659727,0.562677172098,0,0.430012220115,-2.36935951607
224,Rockland,8317157,Rockland_8317157,1,/home/data/Originals/Rockland/raw/8317157/session_1/MPRAGE_1/defaced_MPRAGE.nii.gz,/home/data/Originals/Rockland/raw/8317157/session_1/BOLDrestingCAP_1/BOLDrestingCAP.nii.gz,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/8317157_session_1/scan,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/8317157_session_1/scan_BOLDrestingCAP_1_BOLDrestingCAP,0.0712541179687,1.49813,0.156220732519,0.357706136375,0,0.464247074288,-2.08011762329
225,Rockland,9645370,Rockland_9645370,1,/home/data/Originals/Rockland/raw/9645370/session_1/MPRAGE_1/defaced_MPRAGE.nii.gz,/home/data/Originals/Rockland/raw/9645370/session_1/BOLDrestingCAP_1/BOLDrestingCAP.nii.gz,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/9645370_session_1/scan,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/9645370_session_1/scan_BOLDrestingCAP_1_BOLDrestingCAP,0.0813255589844,0.942834,0.167670976759,0.411004829655,0,0.343306926249,-3.05918241956
227,Rockland,1522653,Rockland_1522653,1,/home/data/Originals/Rockland/raw/1522653/session_1/MPRAGE_1/defaced_MPRAGE.nii.gz,/home/data/Originals/Rockland/raw/1522653/session_1/BOLDrestingCAP_1/BOLDrestingCAP.nii.gz,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/1522653_session_1/scan,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/1522653_session_1/scan_BOLDrestingCAP_1_BOLDrestingCAP,0.17173270625,0.74326,0.112912556265,0.385683912032,0,0.455672238199,-2.1536169173
241,Rockland,1013090,Rockland_1013090,1,/home/data/Originals/Rockland/raw/1013090/session_1/MPRAGE_1/defaced_MPRAGE.nii.gz,/home/data/Originals/Rockland/raw/1013090/session_1/BOLDrestingCAP_1/BOLDrestingCAP.nii.gz,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/1013090_session_1/scan,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/1013090_session_1/scan_BOLDrestingCAP_1_BOLDrestingCAP,0.0801189652344,0.893035,0.178496601369,0.497353576442,0,0.466675678074,-2.05916583118
