site,id,func_run,bad_motion,bad_coverage,bad_anat,bad_snr,bad_preprocessing,bad_summary_measures,fell_asleep,bad_scan,qc_fail,scans_touse
BeijingEOEC,BeijingEOEC_1024011,1,0,0,0,0,0,0,0,0,0,1
BeijingEOEC,BeijingEOEC_1082398,1,0,0,0,0,0,0,0,0,0,1
BeijingEOEC,BeijingEOEC_1122550,1,0,0,0,0,0,0,0,0,0,1
BeijingEOEC,BeijingEOEC_1131499,1,0,0,0,0,0,0,0,0,0,1
BeijingEOEC,BeijingEOEC_1312359,1,0,0,0,0,0,0,0,0,0,1
BeijingEOEC,BeijingEOEC_1381466,1,0,0,0,0,0,0,0,0,0,1
BeijingEOEC,BeijingEOEC_1465338,1,0,0,0,0,0,0,0,0,0,1
BeijingEOEC,BeijingEOEC_1525518,1,0,0,0,0,0,0,0,0,0,1
BeijingEOEC,BeijingEOEC_1684516,1,0,0,0,0,0,0,0,0,0,1
BeijingEOEC,BeijingEOEC_1714208,1,0,1,0,0,0,0,0,0,1,0
BeijingEOEC,BeijingEOEC_1725227,1,0,0,0,0,0,0,0,0,0,1
BeijingEOEC,BeijingEOEC_1760155,1,0,0,0,0,0,0,0,0,0,1
BeijingEOEC,BeijingEOEC_1767783,1,0,0,0,0,0,0,0,0,0,1
BeijingEOEC,BeijingEOEC_1907043,1,0,0,0,0,0,0,0,0,0,1
BeijingEOEC,BeijingEOEC_1925025,1,0,0,0,0,0,0,0,0,0,1
BeijingEOEC,BeijingEOEC_2021733,1,0,0,0,0,0,0,0,0,0,1
BeijingEOEC,BeijingEOEC_2092454,1,0,0,0,0,0,0,0,0,0,1
BeijingEOEC,BeijingEOEC_2466100,1,0,0,0,0,0,0,0,0,0,1
BeijingEOEC,BeijingEOEC_2516383,1,0,0,0,0,0,0,0,0,0,1
BeijingEOEC,BeijingEOEC_2662830,1,0,0,0,0,0,0,0,0,0,1
BeijingEOEC,BeijingEOEC_2692262,1,0,0,0,0,0,0,0,0,0,1
BeijingEOEC,BeijingEOEC_2772551,1,1,0,0,0,0,0,0,0,1,0
BeijingEOEC,BeijingEOEC_2780400,1,0,0,0,0,0,0,0,0,0,1
BeijingEOEC,BeijingEOEC_2796604,1,0,0,0,0,0,0,0,0,0,1
BeijingEOEC,BeijingEOEC_2860449,1,0,0,0,0,0,0,0,0,0,1
BeijingEOEC,BeijingEOEC_2945687,1,1,0,0,0,0,0,0,0,1,0
BeijingEOEC,BeijingEOEC_3057549,1,0,0,0,0,0,0,0,0,0,1
BeijingEOEC,BeijingEOEC_3235222,1,0,0,0,0,0,0,0,0,0,1
BeijingEOEC,BeijingEOEC_3258811,1,0,1,0,0,0,0,0,0,1,0
BeijingEOEC,BeijingEOEC_3265732,1,0,0,0,0,0,0,0,0,0,1
BeijingEOEC,BeijingEOEC_3408166,1,0,0,0,0,0,0,0,0,0,1
BeijingEOEC,BeijingEOEC_3457797,1,0,0,0,0,0,0,0,0,0,1
BeijingEOEC,BeijingEOEC_3534106,1,0,0,0,0,0,0,0,0,0,1
BeijingEOEC,BeijingEOEC_3550267,1,1,0,0,0,0,0,0,0,1,0
BeijingEOEC,BeijingEOEC_3563234,1,0,0,0,0,0,0,0,0,0,1
BeijingEOEC,BeijingEOEC_3697986,1,0,0,0,0,0,0,0,0,0,1
BeijingEOEC,BeijingEOEC_3814313,1,0,0,0,0,0,0,0,0,0,1
BeijingEOEC,BeijingEOEC_3856302,1,0,0,0,0,0,0,0,0,0,1
BeijingEOEC,BeijingEOEC_3938118,1,0,0,0,0,0,0,0,0,0,1
BeijingEOEC,BeijingEOEC_3942935,1,0,0,0,0,0,0,0,0,0,1
BeijingEOEC,BeijingEOEC_4152763,1,0,0,0,0,0,0,0,0,0,1
BeijingEOEC,BeijingEOEC_4207406,1,0,0,0,0,0,0,0,0,0,1
BeijingEOEC,BeijingEOEC_4233715,1,0,0,0,0,0,0,0,0,0,1
BeijingEOEC,BeijingEOEC_6579735,1,0,0,0,0,0,0,0,0,0,1
BeijingEOEC,BeijingEOEC_6984799,1,0,0,0,0,0,0,0,0,0,1
BeijingEOEC,BeijingEOEC_7289877,1,0,0,0,0,0,0,0,0,0,1
BeijingEOEC,BeijingEOEC_8384854,1,0,0,0,0,0,0,0,0,0,1
BeijingEOEC,BeijingEOEC_9639203,1,0,0,0,0,0,0,0,0,0,1
Berlin,Berlin_0003001,1,0,0,0,0,0,0,0,0,0,0
Berlin,Berlin_0003001,2,0,0,0,0,0,0,0,0,0,1
Berlin,Berlin_0003002,1,0,0,0,0,0,0,0,0,0,1
Berlin,Berlin_0003002,2,0,0,0,0,0,0,0,0,0,0
Berlin,Berlin_0003004,1,0,0,0,0,0,0,0,0,0,0
Berlin,Berlin_0003004,2,0,0,0,0,0,0,0,0,0,1
Berlin,Berlin_0003006,1,0,0,0,0,0,0,0,0,0,0
