,site,id,func_run,max_relative_motion,num_movements,func_overlap_with_90,func_overlap_with_std,func_mean_zcor,func_std_zcor,anat_mean_zcor,anat_percent_voxs,anat_std_zcor
0,BeijingEOEC,BeijingEOEC_1024011,1,0.582751104675,0,98.4887478473,234.03877786,-2.14212667254,-2.97674927555,1.02552091895,-1.03216934859,-0.447767334992
1,BeijingEOEC,BeijingEOEC_1082398,1,0.434208210424,0,99.7852125622,277.433619951,-2.0709324076,-2.28023287871,1.02455863328,0.0323934459006,-0.35710249325
2,BeijingEOEC,BeijingEOEC_1122550,1,0.687140807986,0,99.6168656514,257.432876605,-2.9340918056,-2.11157691628,1.05440977698,0.189844361912,-0.0897634670813
3,BeijingEOEC,BeijingEOEC_1131499,1,0.706275597766,0,99.5704251243,231.313292313,-2.35104755064,-2.03078830853,0.853280302808,-1.11399075157,0.159822490255
4,BeijingEOEC,BeijingEOEC_1312359,1,0.351350608367,0,99.37885795,265.21013208,-2.12934094668,-2.04588961551,1.01483171179,0.224784312375,-0.162868549769
5,BeijingEOEC,BeijingEOEC_1381466,1,0.215039647507,0,99.7271619033,261.155273111,-2.16672887731,-2.36935951607,1.0100000524,-0.968923615473,0.208226323084
6,BeijingEOEC,BeijingEOEC_1465338,1,0.528284629722,0,98.7886762515,222.019324528,-2.11610990933,-2.08011762329,0.330173026829,-0.22324315369,-0.446889037184
7,BeijingEOEC,BeijingEOEC_1525518,1,1.13581090416,25,99.7774724743,233.817029539,-2.03051654432,-3.05918241956,0.645981191483,0.295548769009,-0.108444969068
8,BeijingEOEC,BeijingEOEC_1684516,1,0.156318425018,0,99.7561872327,267.719144284,-2.02472261008,-2.1536169173,0.30983707435,-0.551413321331,-1.18881742789
9,BeijingEOEC,BeijingEOEC_1714208,1,0.92467461304,0,99.5085044215,277.935291002,-2.32210695866,-2.05916583118,1.24771185651,-0.244914768535,-0.194505438032
10,BeijingEOEC,BeijingEOEC_1725227,1,0.532992851734,0,99.4117533234,284.644608929,-2.06722441471,-2.496650024,0.984016448018,-0.069772738365,0.10885602359
11,BeijingEOEC,BeijingEOEC_1760155,1,0.269317099346,0,99.6013854757,256.92913279,-2.33155896752,-2.05252270439,1.0671848731,-0.550086487769,0.462823442232
12,BeijingEOEC,BeijingEOEC_1767783,1,0.423288329629,0,99.1660055342,252.25694291,-2.83757224784,-2.26195245274,0.565859294354,-0.282066108268,-0.711660901908
13,BeijingEOEC,BeijingEOEC_1907043,1,0.672757816751,0,99.8026277598,239.414544626,-2.19901067555,-2.50736295044,1.11367857953,-1.22057971438,0.723439184475
14,BeijingEOEC,BeijingEOEC_1925025,1,0.612797340073,0,99.6845914201,208.661041857,-2.2378046943,-2.5069638237,0.193200911271,-1.63809000852,0.209393490003
15,BeijingEOEC,BeijingEOEC_2021733,1,0.554928256624,0,99.5917103659,238.477021458,-2.09693336227,-2.36354497374,0.291475291713,-0.937079609988,-1.08384625496
16,BeijingEOEC,BeijingEOEC_2092454,1,0.674473846787,0,99.9245341435,261.16480513,-2.04568427904,-2.61713391641,0.935665796802,-0.0427937892732,0.306502550017
17,BeijingEOEC,BeijingEOEC_2466100,1,0.831973965939,0,99.6420209369,264.233326247,-2.10394682944,-2.52353834682,1.07172702793,-0.91275432802,0.168358345492
18,BeijingEOEC,BeijingEOEC_2516383,1,0.393787163326,0,99.7503821668,222.805433326,-2.45691589175,-3.74362371748,0.525554540796,-0.816337755856,-0.651232661779
19,BeijingEOEC,BeijingEOEC_2662830,1,0.534430771943,0,99.6962015519,255.702944586,-2.26110295051,-4.24288782915,0.829465905978,-1.07507030042,0.228327452379
20,BeijingEOEC,BeijingEOEC_2692262,1,0.417685635377,0,99.4910892239,218.660698105,-2.34491813228,-3.07611712061,1.07029508547,-0.345754119238,-0.494789329218
21,BeijingEOEC,BeijingEOEC_2780400,1,0.236154271611,0,99.2685616982,218.87533061,-2.18385245127,-2.58089787919,0.214961685501,-0.471361029764,-0.461858725478
22,BeijingEOEC,BeijingEOEC_2796604,1,0.326631321217,0,99.7619922986,275.838509971,-2.31722469484,-2.06933481619,1.22651417401,-0.671712897609,0.303029058398
23,BeijingEOEC,BeijingEOEC_2860449,1,0.921858454428,0,99.6845914201,256.45762787,-2.63681354209,-4.3673493039,1.34630881156,-1.0839158575,0.749338726944
24,BeijingEOEC,BeijingEOEC_3057549,1,0.507503467968,0,99.3401575108,269.545917385,-2.62625135883,-2.51320230362,1.33088337185,-0.872064765455,0.246149651901
25,BeijingEOEC,BeijingEOEC_3235222,1,0.485994207784,0,99.535594729,256.9319948,-2.60960347302,-2.8302393072,1.19793786833,-0.487725310361,0.10853549569
26,BeijingEOEC,BeijingEOEC_3258811,1,1.07734908456,3,99.2492114786,242.389181548,-2.06227440817,-2.31135271744,0.422855872601,0.645832829348,-0.414469702269
27,BeijingEOEC,BeijingEOEC_3265732,1,0.409027040671,0,99.3982081697,243.905078506,-2.22432120088,-2.95730655643,0.499012811504,0.45299968502,-0.528988344342
28,BeijingEOEC,BeijingEOEC_3408166,1,0.670375909472,0,98.8389868225,233.274251692,-2.27994405669,-2.42229081707,0.645425720009,-0.813684088732,-0.932737490689
29,BeijingEOEC,BeijingEOEC_3457797,1,0.316842547648,0,99.4639989164,217.041101557,-2.81915867049,-2.01100227726,0.842423153978,-0.932656831448,0.091435143903
30,BeijingEOEC,BeijingEOEC_3534106,1,1.10318619009,7,99.7465121229,226.474122864,-3.71549156904,-2.14909971114,0.183647589912,0.904123096063,-0.64647122544
31,BeijingEOEC,BeijingEOEC_3563234,1,0.659913820131,0,99.3962731477,253.91072009,-3.02416210751,-2.35095421454,0.981797376064,-1.23517488356,-0.327042769237
32,BeijingEOEC,BeijingEOEC_3697986,1,0.388347602027,0,99.7020066178,263.463404545,-2.42443873809,-2.0523674134,1.41182500604,-0.687192622498,1.29006338874
33,BeijingEOEC,BeijingEOEC_3814313,1,0.83546026237,0,99.7039416397,228.497000857,-2.49993620836,-3.08135400971,0.800215965677,-0.59696794029,-0.501244632899
34,BeijingEOEC,BeijingEOEC_3856302,1,1.49633956039,81,99.6342808491,235.241763187,-2.15765611884,-2.15904404705,1.05614130219,-0.623062333673,-0.34478744668
35,BeijingEOEC,BeijingEOEC_3938118,1,0.210424333194,0,99.7910176281,277.251655032,-4.05719988284,-2.01892050968,1.1617080032,-1.25330827557,0.139275535466
36,BeijingEOEC,BeijingEOEC_3942935,1,0.844440791293,0,99.587840322,215.0329758,-2.246203714,-2.38829527797,1.04231515368,-0.363445233397,-0.53558062835
37,BeijingEOEC,BeijingEOEC_4152763,1,1.3435685952,16,99.2182511272,241.181072149,-2.20211437227,-2.07193032829,1.04304435354,-0.364329789105,-0.771113250154
38,BeijingEOEC,BeijingEOEC_4207406,1,0.361150785684,0,99.7252268813,216.348837336,-2.61634326848,-2.06548899772,0.594948155953,-1.51513676512,-0.0915900985407
39,BeijingEOEC,BeijingEOEC_4233715,1,0.99292064134,0,99.7832775402,245.975316314,-2.44315947505,-2.05125353104,0.881374499348,-0.25331804776,-0.803898203203
40,BeijingEOEC,BeijingEOEC_6579735,1,0.462061348741,0,99.4098183014,213.442779895,-2.21140378475,-2.16754760731,1.21630774917,-0.769456303335,0.683974057287
41,BeijingEOEC,BeijingEOEC_6984799,1,0.678116243722,0,98.9628282281,270.440918358,-2.90568713951,-2.6073897544,0.494517811203,-0.915407995143,-0.516959853608
42,BeijingEOEC,BeijingEOEC_7289877,1,0.244352634526,0,99.4949592678,272.894339894,-2.03169834811,-2.59859593702,1.14738949018,0.147385687931,0.042536377153
43,BeijingEOEC,BeijingEOEC_8384854,1,0.636241777943,0,99.5917103659,270.650977331,-2.18290737291,-2.60866003744,0.737942452361,0.0509691157671,-0.879434733748
44,BeijingEOEC,BeijingEOEC_9639203,1,0.396311758594,0,99.5762301902,229.887363774,-2.4097491067,-2.86263735494,0.937867457989,-0.403250240254,-0.744209021988
45,Berlin,Berlin_0003001,1,0.35790663587,0,99.7677973645,232.451511391,-2.2060948343,-4.73063268838,0.168379742181,0.744460790782,-1.26543250261
46,Berlin,Berlin_0003001,2,0.336182643811,0,99.7890826061,232.451511391,-2.30226933488,-2.70733627752,0.168379742181,0.744460790782,-1.26543250261
47,Berlin,Berlin_0003002,1,0.255329825912,0,99.8219779795,247.856942351,-4.00048498882,-3.47051708084,0.757125359498,-0.247568435658,-0.282626256231
48,Berlin,Berlin_0003002,2,0.257601242233,0,99.8393931771,247.856942351,-2.29792247543,-4.20753139677,0.757125359498,-0.247568435658,-0.282626256231
49,Berlin,Berlin_0003004,1,0.445950591434,0,99.8181079355,235.645628343,-3.01362584083,-4.25346859356,0.0202251437146,0.460960686391,-1.03054465027
50,Berlin,Berlin_0003004,2,0.331540314291,0,99.8490682869,235.645628343,-3.5730383299,-2.20691372209,0.0202251437146,0.460960686391,-1.03054465027
51,Berlin,Berlin_0003006,1,0.291622907194,0,99.843263221,258.48326094,-3.46249043596,-2.0413799981,0.409070737236,0.58126026267,0.246130753056
52,Berlin,Berlin_0003006,2,0.202804339204,0,99.7987577159,258.48326094,-2.16991073237,-2.48893572307,0.409070737236,0.58126026267,0.246130753056
53,Berlin,Berlin_0003007,1,0.584872225362,0,99.6826563982,248.32777827,-2.31933300557,-2.12696411349,0.0690284443432,-0.584584160379,-1.47293892836
54,Berlin,Berlin_0003007,2,0.198240106941,0,99.7078116837,248.32777827,-2.02707495604,-2.1241632567,0.0690284443432,-0.584584160379,-1.47293892836
55,Berlin,Berlin_0003008,1,0.883028436688,0,99.9361442752,276.619507727,-2.36170873781,-2.17095152284,0.504031670268,0.0425658365418,-0.152309820185
56,Berlin,Berlin_0003008,2,0.144041834201,0,99.9187290776,276.619507727,-2.42242995822,-3.60438923494,0.504031670268,0.0425658365418,-0.152309820185
57,Berlin,Berlin_0003009,1,0.388875005625,0,99.9129240117,243.726945011,-3.39929137023,,0.0739622590007,0.249109594343,-0.920063814197
58,Berlin,Berlin_0003009,2,0.198805155869,0,99.9342092533,243.726945011,,,0.0739622590007,0.249109594343,-0.920063814197
59,Berlin,Berlin_0003010,1,0.128291737848,0,99.7813425182,230.750465384,,,0.348560371243,0.219919255981,-0.815073318351
60,Berlin,Berlin_0003010,2,0.215720420916,0,99.7910176281,230.750465384,,,0.348560371243,0.219919255981,-0.815073318351
