"","iteration","subjects","effect.size","connections","method","sensitivity","specificity"
"1",1,24,0.02,2,"glm",0.07,0.953333333333333
"2",1,24,0.02,2,"degree",0.1,1
"3",1,24,0.02,2,"mdmr",0.14,0.96
"4",1,24,0.04,2,"glm",0.17,0.953030303030303
"5",1,24,0.04,2,"degree",0.06,0.96
"6",1,24,0.04,2,"mdmr",0.06,0.88
"7",1,24,0.06,2,"glm",0.34,0.953737373737374
"8",1,24,0.06,2,"degree",0.06,0.96
"9",1,24,0.06,2,"mdmr",0.1,0.92
"10",1,24,0.08,2,"glm",0.58,0.953434343434343
"11",1,24,0.08,2,"degree",0.02,0.92
"12",1,24,0.08,2,"mdmr",0.18,0.9
"13",1,24,0.1,2,"glm",0.7,0.953535353535354
"14",1,24,0.1,2,"degree",0.1,0.96
"15",1,24,0.1,2,"mdmr",0.2,0.9
"16",1,24,0.15,2,"glm",0.99,0.953333333333333
"17",1,24,0.15,2,"degree",0.1,0.98
"18",1,24,0.15,2,"mdmr",0.7,0.9
"19",1,24,0.2,2,"glm",1,0.953030303030303
"20",1,24,0.2,2,"degree",0.08,0.96
"21",1,24,0.2,2,"mdmr",0.96,0.9
"22",1,24,0.3,2,"glm",1,0.953636363636364
"23",1,24,0.3,2,"degree",0.08,0.96
"24",1,24,0.3,2,"mdmr",1,0.9
"25",1,24,0.02,4,"glm",0.08,0.953571428571429
"26",1,24,0.02,4,"degree",0,0.9
"27",1,24,0.02,4,"mdmr",0.08,0.92
"28",1,24,0.04,4,"glm",0.19,0.953469387755102
"29",1,24,0.04,4,"degree",0,0.94
"30",1,24,0.04,4,"mdmr",0.16,0.96
"31",1,24,0.06,4,"glm",0.345,0.953673469387755
"32",1,24,0.06,4,"degree",0.1,1
"33",1,24,0.06,4,"mdmr",0.18,0.9
"34",1,24,0.08,4,"glm",0.52,0.953571428571429
"35",1,24,0.08,4,"degree",0.04,0.96
"36",1,24,0.08,4,"mdmr",0.28,0.9
"37",1,24,0.1,4,"glm",0.75,0.953469387755102
"38",1,24,0.1,4,"degree",0.04,0.94
"39",1,24,0.1,4,"mdmr",0.58,0.9
"40",1,24,0.15,4,"glm",0.975,0.953367346938776
"41",1,24,0.15,4,"degree",0.08,0.92
"42",1,24,0.15,4,"mdmr",0.98,0.92
"43",1,24,0.2,4,"glm",1,0.953061224489796
"44",1,24,0.2,4,"degree",0.12,0.92
"45",1,24,0.2,4,"mdmr",1,0.96
"46",1,24,0.3,4,"glm",1,0.953877551020408
"47",1,24,0.3,4,"degree",0.32,0.96
"48",1,24,0.3,4,"mdmr",1,0.88
"49",1,24,0.02,6,"glm",0.08,0.953711340206186
"50",1,24,0.02,6,"degree",0.02,0.92
"51",1,24,0.02,6,"mdmr",0.12,0.94
"52",1,24,0.04,6,"glm",0.186666666666667,0.953814432989691
"53",1,24,0.04,6,"degree",0.04,0.94
"54",1,24,0.04,6,"mdmr",0.08,0.88
"55",1,24,0.06,6,"glm",0.38,0.953814432989691
"56",1,24,0.06,6,"degree",0.02,0.94
"57",1,24,0.06,6,"mdmr",0.34,0.88
"58",1,24,0.08,6,"glm",0.54,0.954226804123711
"59",1,24,0.08,6,"degree",0.02,0.9
"60",1,24,0.08,6,"mdmr",0.46,0.9
"61",1,24,0.1,6,"glm",0.74,0.953092783505155
"62",1,24,0.1,6,"degree",0.16,0.96
"63",1,24,0.1,6,"mdmr",0.78,0.88
"64",1,24,0.15,6,"glm",0.983333333333333,0.953505154639175
"65",1,24,0.15,6,"degree",0.2,0.96
"66",1,24,0.15,6,"mdmr",1,0.88
"67",1,24,0.2,6,"glm",1,0.953711340206186
"68",1,24,0.2,6,"degree",0.32,0.92
"69",1,24,0.2,6,"mdmr",1,0.96
"70",1,24,0.3,6,"glm",1,0.95319587628866
"71",1,24,0.3,6,"degree",0.3,1
"72",1,24,0.3,6,"mdmr",1,0.92
"73",1,24,0.02,8,"glm",0.1025,0.953958333333333
"74",1,24,0.02,8,"degree",0.04,0.94
"75",1,24,0.02,8,"mdmr",0.08,0.9
"76",1,24,0.04,8,"glm",0.175,0.95375
"77",1,24,0.04,8,"degree",0.02,0.98
"78",1,24,0.04,8,"mdmr",0.1,0.92
"79",1,24,0.06,8,"glm",0.365,0.953333333333333
"80",1,24,0.06,8,"degree",0,0.9
"81",1,24,0.06,8,"mdmr",0.5,0.92
"82",1,24,0.08,8,"glm",0.5725,0.953229166666667
"83",1,24,0.08,8,"degree",0.04,0.96
"84",1,24,0.08,8,"mdmr",0.76,0.92
"85",1,24,0.1,8,"glm",0.7675,0.953020833333333
"86",1,24,0.1,8,"degree",0.1,0.94
"87",1,24,0.1,8,"mdmr",0.96,0.92
"88",1,24,0.15,8,"glm",0.99,0.953125
"89",1,24,0.15,8,"degree",0.14,0.94
"90",1,24,0.15,8,"mdmr",1,0.86
"91",1,24,0.2,8,"glm",1,0.953958333333333
"92",1,24,0.2,8,"degree",0.2,0.98
"93",1,24,0.2,8,"mdmr",1,0.9
"94",1,24,0.3,8,"glm",1,0.95375
"95",1,24,0.3,8,"degree",0.4,0.94
"96",1,24,0.3,8,"mdmr",1,0.94
"97",1,24,0.02,10,"glm",0.082,0.953789473684211
"98",1,24,0.02,10,"degree",0.02,0.96
"99",1,24,0.02,10,"mdmr",0.08,0.9
"100",1,24,0.04,10,"glm",0.162,0.953789473684211
"101",1,24,0.04,10,"degree",0.02,0.92
"102",1,24,0.04,10,"mdmr",0.18,0.92
"103",1,24,0.06,10,"glm",0.352,0.953473684210526
"104",1,24,0.06,10,"degree",0.06,0.96
"105",1,24,0.06,10,"mdmr",0.56,0.92
"106",1,24,0.08,10,"glm",0.566,0.953473684210526
"107",1,24,0.08,10,"degree",0.04,0.94
"108",1,24,0.08,10,"mdmr",0.96,0.9
"109",1,24,0.1,10,"glm",0.762,0.952842105263158
"110",1,24,0.1,10,"degree",0.1,0.92
"111",1,24,0.1,10,"mdmr",1,0.92
"112",1,24,0.15,10,"glm",0.972,0.953684210526316
"113",1,24,0.15,10,"degree",0.36,0.94
"114",1,24,0.15,10,"mdmr",1,0.88
"115",1,24,0.2,10,"glm",1,0.953578947368421
"116",1,24,0.2,10,"degree",0.28,0.9
"117",1,24,0.2,10,"mdmr",1,0.92
"118",1,24,0.3,10,"glm",1,0.953052631578947
"119",1,24,0.3,10,"degree",0.42,0.92
"120",1,24,0.3,10,"mdmr",1,0.92
"121",1,24,0.02,14,"glm",0.0742857142857143,0.953655913978495
"122",1,24,0.02,14,"degree",0.02,0.92
"123",1,24,0.02,14,"mdmr",0.12,0.92
"124",1,24,0.04,14,"glm",0.172857142857143,0.953440860215054
"125",1,24,0.04,14,"degree",0,0.9
"126",1,24,0.04,14,"mdmr",0.28,0.94
"127",1,24,0.06,14,"glm",0.364285714285714,0.953440860215054
"128",1,24,0.06,14,"degree",0.04,0.96
"129",1,24,0.06,14,"mdmr",0.66,0.9
"130",1,24,0.08,14,"glm",0.552857142857143,0.953655913978495
"131",1,24,0.08,14,"degree",0.04,0.94
"132",1,24,0.08,14,"mdmr",1,0.9
"133",1,24,0.1,14,"glm",0.745714285714286,0.953655913978495
"134",1,24,0.1,14,"degree",0.12,0.94
"135",1,24,0.1,14,"mdmr",1,0.94
"136",1,24,0.15,14,"glm",0.98,0.953010752688172
