"","iteration","subjects","effect.size","connections","method","sensitivity","specificity"
"1",1,24,0.02,1,"glm",0.06,0.951758793969849
"2",1,24,0.02,1,"degree",0.02,0.98
"3",1,24,0.02,1,"mdmr",0.04,1
"4",1,24,0.04,1,"glm",0.22,0.951457286432161
"5",1,24,0.04,1,"degree",0,0.94
"6",1,24,0.04,1,"mdmr",0.02,0.98
"7",1,24,0.06,1,"glm",0.26,0.951557788944724
"8",1,24,0.06,1,"degree",0.04,1
"9",1,24,0.06,1,"mdmr",0.04,0.98
"10",1,24,0.08,1,"glm",0.62,0.951557788944724
"11",1,24,0.08,1,"degree",0.02,0.98
"12",1,24,0.08,1,"mdmr",0.12,0.98
"13",1,24,0.1,1,"glm",0.82,0.951457286432161
"14",1,24,0.1,1,"degree",0.04,1
"15",1,24,0.1,1,"mdmr",0.14,0.98
"16",1,24,0.15,1,"glm",1,0.951356783919598
"17",1,24,0.15,1,"degree",0,0.96
"18",1,24,0.15,1,"mdmr",0.28,0.96
"19",1,24,0.2,1,"glm",1,0.951557788944724
"20",1,24,0.2,1,"degree",0.04,0.96
"21",1,24,0.2,1,"mdmr",0.56,0.98
"22",1,24,0.3,1,"glm",1,0.951557788944724
"23",1,24,0.3,1,"degree",0.06,0.96
"24",1,24,0.3,1,"mdmr",1,1
"25",1,24,0.02,2,"glm",0.08,0.951818181818182
"26",1,24,0.02,2,"degree",0.02,0.96
"27",1,24,0.02,2,"mdmr",0,0.96
"28",1,24,0.04,2,"glm",0.15,0.951313131313131
"29",1,24,0.04,2,"degree",0.02,0.96
"30",1,24,0.04,2,"mdmr",0,0.96
"31",1,24,0.06,2,"glm",0.34,0.951616161616162
"32",1,24,0.06,2,"degree",0,0.94
"33",1,24,0.06,2,"mdmr",0.08,0.96
"34",1,24,0.08,2,"glm",0.58,0.952020202020202
"35",1,24,0.08,2,"degree",0,0.96
"36",1,24,0.08,2,"mdmr",0.2,1
"37",1,24,0.1,2,"glm",0.78,0.951616161616162
"38",1,24,0.1,2,"degree",0.06,0.96
"39",1,24,0.1,2,"mdmr",0.22,0.98
"40",1,24,0.15,2,"glm",0.99,0.951515151515152
"41",1,24,0.15,2,"degree",0.08,0.98
"42",1,24,0.15,2,"mdmr",0.66,0.98
"43",1,24,0.2,2,"glm",1,0.951919191919192
"44",1,24,0.2,2,"degree",0.14,0.96
"45",1,24,0.2,2,"mdmr",0.94,0.98
"46",1,24,0.3,2,"glm",1,0.951616161616162
"47",1,24,0.3,2,"degree",0.28,1
"48",1,24,0.3,2,"mdmr",1,0.98
"49",1,24,0.02,4,"glm",0.105,0.952040816326531
"50",1,24,0.02,4,"degree",0.02,0.96
"51",1,24,0.02,4,"mdmr",0.02,0.98
"52",1,24,0.04,4,"glm",0.195,0.951734693877551
"53",1,24,0.04,4,"degree",0.02,0.98
"54",1,24,0.04,4,"mdmr",0.04,0.98
"55",1,24,0.06,4,"glm",0.35,0.951836734693878
"56",1,24,0.06,4,"degree",0.08,1
"57",1,24,0.06,4,"mdmr",0.12,0.98
"58",1,24,0.08,4,"glm",0.56,0.951734693877551
"59",1,24,0.08,4,"degree",0.08,0.96
"60",1,24,0.08,4,"mdmr",0.26,1
"61",1,24,0.1,4,"glm",0.725,0.951326530612245
"62",1,24,0.1,4,"degree",0.14,0.96
"63",1,24,0.1,4,"mdmr",0.42,0.96
"64",1,24,0.15,4,"glm",0.985,0.951632653061224
"65",1,24,0.15,4,"degree",0.3,0.96
"66",1,24,0.15,4,"mdmr",0.94,0.98
"67",1,24,0.2,4,"glm",1,0.951428571428571
"68",1,24,0.2,4,"degree",0.56,0.98
"69",1,24,0.2,4,"mdmr",1,1
"70",1,24,0.3,4,"glm",1,0.951938775510204
"71",1,24,0.3,4,"degree",0.84,0.96
"72",1,24,0.3,4,"mdmr",1,1
"73",1,24,0.02,6,"glm",0.08,0.950927835051546
"74",1,24,0.02,6,"degree",0.04,0.96
"75",1,24,0.02,6,"mdmr",0.02,0.96
"76",1,24,0.04,6,"glm",0.183333333333333,0.951546391752577
"77",1,24,0.04,6,"degree",0.04,0.98
"78",1,24,0.04,6,"mdmr",0.08,0.96
"79",1,24,0.06,6,"glm",0.326666666666667,0.951958762886598
"80",1,24,0.06,6,"degree",0.06,0.96
"81",1,24,0.06,6,"mdmr",0.16,0.98
"82",1,24,0.08,6,"glm",0.55,0.951546391752577
"83",1,24,0.08,6,"degree",0.22,0.98
"84",1,24,0.08,6,"mdmr",0.34,0.98
"85",1,24,0.1,6,"glm",0.75,0.951134020618557
"86",1,24,0.1,6,"degree",0.36,0.94
"87",1,24,0.1,6,"mdmr",0.62,1
"88",1,24,0.15,6,"glm",0.99,0.951855670103093
"89",1,24,0.15,6,"degree",0.6,0.96
"90",1,24,0.15,6,"mdmr",1,0.98
"91",1,24,0.2,6,"glm",1,0.951237113402062
"92",1,24,0.2,6,"degree",0.86,0.98
"93",1,24,0.2,6,"mdmr",1,0.98
"94",1,24,0.3,6,"glm",1,0.951340206185567
"95",1,24,0.3,6,"degree",1,0.98
"96",1,24,0.3,6,"mdmr",1,0.98
"97",1,24,0.02,8,"glm",0.085,0.951458333333333
"98",1,24,0.02,8,"degree",0.04,0.98
"99",1,24,0.02,8,"mdmr",0.02,0.98
