"","site","id","age","sex","handedness","eyes"
"1","BeijingEOEC","1725227",23,"F",NA,"closed"
"2","BeijingEOEC","1925025",18,"M",NA,"closed"
"3","BeijingEOEC","3235222",23,"F",NA,"closed"
"4","BeijingEOEC","3457797",22,"M",NA,"closed"
"5","BeijingEOEC","4207406",23,"M",NA,"closed"
"6","BeijingEOEC","1714208",21,"F",NA,"closed"
"7","BeijingEOEC","1767783",24,"M",NA,"closed"
"8","BeijingEOEC","2662830",24,"F",NA,"closed"
"9","BeijingEOEC","2516383",23,"M",NA,"closed"
"10","BeijingEOEC","1525518",20,"F",NA,"closed"
"11","BeijingEOEC","3550267",20,"F",NA,"closed"
"12","BeijingEOEC","1131499",24,"F",NA,"closed"
"13","BeijingEOEC","2092454",21,"F",NA,"closed"
"14","BeijingEOEC","7289877",23,"F",NA,"closed"
"15","BeijingEOEC","3938118",23,"F",NA,"closed"
"16","BeijingEOEC","1312359",23,"F",NA,"closed"
"17","BeijingEOEC","3697986",23,"F",NA,"closed"
"18","BeijingEOEC","1907043",23,"F",NA,"closed"
"19","BeijingEOEC","3057549",23,"F",NA,"closed"
"20","BeijingEOEC","1082398",20,"F",NA,"closed"
"21","BeijingEOEC","1760155",23,"F",NA,"closed"
"22","BeijingEOEC","1381466",20,"F",NA,"closed"
"23","BeijingEOEC","3563234",25,"M",NA,"closed"
"24","BeijingEOEC","3258811",24,"M",NA,"closed"
"25","BeijingEOEC","1465338",30,"M",NA,"closed"
"26","BeijingEOEC","2796604",23,"F",NA,"closed"
"27","BeijingEOEC","2860449",21,"F",NA,"closed"
"28","BeijingEOEC","8384854",23,"M",NA,"closed"
"29","BeijingEOEC","1684516",24,"M",NA,"closed"
"30","BeijingEOEC","3408166",23,"M",NA,"closed"
"31","BeijingEOEC","2692262",23,"M",NA,"closed"
"32","BeijingEOEC","4152763",21,"M",NA,"closed"
"33","BeijingEOEC","2772551",29,"F",NA,"closed"
"34","BeijingEOEC","1024011",22,"M",NA,"closed"
"35","BeijingEOEC","6579735",24,"M",NA,"closed"
"36","BeijingEOEC","2780400",22,"M",NA,"closed"
"37","BeijingEOEC","3942935",22,"M",NA,"closed"
"38","BeijingEOEC","3534106",23,"M",NA,"closed"
"39","BeijingEOEC","4233715",24,"M",NA,"closed"
"40","BeijingEOEC","3814313",23,"M",NA,"closed"
"41","BeijingEOEC","6984799",21,"F",NA,"closed"
"42","BeijingEOEC","9639203",20,"M",NA,"closed"
"43","BeijingEOEC","2945687",22,"M",NA,"closed"
"44","BeijingEOEC","1122550",20,"F",NA,"closed"
"45","BeijingEOEC","3856302",19,"M",NA,"closed"
"46","BeijingEOEC","3265732",25,"F",NA,"closed"
"47","BeijingEOEC","2466100",21,"F",NA,"closed"
"48","BeijingEOEC","2021733",21,"M",NA,"closed"
"49","Berlin","0003001",25.13,"M","R","open"
"50","Berlin","0003002",23.96,"F","R","open"
"51","Berlin","0003004",31.15,"M","R","open"
"52","Berlin","0003007",43.53,"M","R","open"
"53","Berlin","0003008",26.87,"F","R","open"
"54","Berlin","0003009",33.82,"M","R","open"
"55","Berlin","0003010",27.02,"F","R","open"
"56","Berlin","0003011",24.37,"F","R","open"
"57","Berlin","0003012",33.59,"M","R","open"
"58","Berlin","0003013",26.06,"F","R","open"
"59","Berlin","0003014",28.27,"M","R","open"
"60","Berlin","0003015",26.64,"F","R","open"
"61","Berlin","0003016",28.46,"M","R","open"
"62","Berlin","0003017",26.58,"M","R","open"
"63","Berlin","0003018",26.78,"F","R","open"
"64","Berlin","0003020",31.25,"M","R","open"
"65","Berlin","0003021",37.42,"F","R","open"
"66","Berlin","0003022",38.01,"M","R","open"
"67","Berlin","0003023",32.3,"F","R","open"
"68","Berlin","0003024",39.04,"M","R","open"
"69","Berlin","0003025",28.44,"F","R","open"
"70","Berlin","0003026",29.34,"F","R","open"
"71","Berlin","0003032",33.28,"F","R","open"
"72","Berlin","0003033",32.52,"M","R","open"
"73","Berlin","0003034",31.59,"F","R","open"
"74","Berlin","0003036",30.3,"F","R","open"
"75","Berlin","0003037",59.73,"F","R","open"
"76","Berlin","0003038",34.72,"M","R","open"
"77","Berlin","0003039",22.99,"F","R","open"
"78","Berlin","0003040",36.25,"M","L","open"
"79","Berlin","0003041",23.96,"F","R","open"
"80","Berlin","0003042",35.18,"M","R","open"
"81","Berlin","0003044",30.95,"M","R","open"
"82","Berlin","0003045",42.63,"F","R","open"
"83","Berlin","0003047",32.63,"M","R","open"
"84","Berlin","0003049",30.31,"M","R","open"
"85","Berlin","0003050",49.37,"F","R","open"
"86","Berlin","0003051",23.62,"M","R","closed"
"87","Berlin","0003052",28.57,"F","R","closed"
"88","Berlin","0003054",27.71,"M","R","closed"
"89","Berlin","0003055",29.95,"M","R","closed"
"90","Berlin","0003056",29.78,"M","R","closed"
"91","Berlin","0003057",19.96,"M","R","closed"
"92","Berlin","0003059",30.66,"F","R","closed"
"93","Berlin","0003060",30.44,"F","L","open"
"94","Berlin","0003061",24.88,"F","R","open"
"95","Berlin","0003062",27.1,"M","R","closed"
"96","Berlin","0003063",22.34,"F","R","closed"
"97","Berlin","0003064",28.85,"F","R","closed"
"98","ann_arbor_a","sub04111",25.63,"M","R",NA
"99","ann_arbor_a","sub04619",18.34,"M","R",NA
"100","ann_arbor_a","sub13636",29.2,"M","R",NA
"101","ann_arbor_a","sub13959",31.39,"M","R",NA
"102","ann_arbor_a","sub16960",13.58,"M","R",NA
"103","ann_arbor_a","sub18698",29.21,"M","R",NA
"104","ann_arbor_a","sub20317",15.92,"M","R",NA
"105","ann_arbor_a","sub28433",21.46,"M","R",NA
"106","ann_arbor_a","sub30421",17.58,"M","R",NA
"107","ann_arbor_a","sub34781",19.88,"M","R",NA
"108","ann_arbor_a","sub38614",14.91,"M","R",NA
"109","ann_arbor_a","sub45660",16.67,"M","R",NA
"110","ann_arbor_a","sub46727",13.83,"F","R",NA
"111","ann_arbor_a","sub47191",27.75,"M","L",NA
"112","ann_arbor_a","sub47659",33.13,"M","R",NA
"113","ann_arbor_a","sub49687",13.41,"M","A",NA
"114","ann_arbor_a","sub51248",40.98,"M","R",NA
"115","ann_arbor_a","sub56028",26.22,"F","R",NA
"116","ann_arbor_a","sub56686",20.81,"F","R",NA
"117","ann_arbor_a","sub70106",17.42,"M","R",NA
"118","ann_arbor_a","sub75922",18,"M","R",NA
"119","ann_arbor_a","sub82334",14.92,"M","R",NA
"120","ann_arbor_a","sub86367",15,"M","R",NA
"121","ann_arbor_a","sub87745",14.17,"M","R",NA
"122","ann_arbor_a","sub96621",15.56,"M","R",NA
"123","baltimore","sub17017",22,"F",NA,NA
"124","baltimore","sub19738",27,"F",NA,NA
"125","baltimore","sub23750",37,"M",NA,NA
"126","baltimore","sub23927",21,"M",NA,NA
"127","baltimore","sub29158",20,"F",NA,NA
"128","baltimore","sub30072",26,"F",NA,NA
"129","baltimore","sub31837",34,"F",NA,NA
"130","baltimore","sub37548",30,"M",NA,NA
"131","baltimore","sub52358",40,"F",NA,NA
"132","baltimore","sub54257",29,"F",NA,NA
"133","baltimore","sub54329",30,"F",NA,NA
"134","baltimore","sub73823",24,"F",NA,NA
"135","baltimore","sub76160",34,"M",NA,NA
"136","baltimore","sub77572",27,"F",NA,NA
"137","baltimore","sub80221",26,"M",NA,NA
"138","baltimore","sub81887",32,"M",NA,NA
"139","baltimore","sub85922",30,"M",NA,NA
"140","baltimore","sub86414",23,"F",NA,NA
"141","baltimore","sub90658",32,"F",NA,NA
"142","baltimore","sub90893",39,"F",NA,NA
"143","baltimore","sub91622",33,"M",NA,NA
"144","baltimore","sub94042",27,"F",NA,NA
"145","baltimore","sub96234",30,"F",NA,NA
"146","bangor","sub00031",29,"M",NA,NA
"147","bangor","sub01903",21,"M",NA,NA
"148","bangor","sub03557",21,"M",NA,NA
"149","bangor","sub04097",36,"M",NA,NA
"150","bangor","sub14388",21,"M",NA,NA
"151","bangor","sub27519",20,"M",NA,NA
"152","bangor","sub36736",22,"M",NA,NA
"153","bangor","sub46870",28,"M",NA,NA
"154","bangor","sub48632",22,"M",NA,NA
"155","bangor","sub61418",21,"M",NA,NA
"156","bangor","sub61908",22,"M",NA,NA
"157","bangor","sub63767",19,"M",NA,NA
"158","bangor","sub66585",19,"M",NA,NA
"159","bangor","sub68050",23,"M",NA,NA
"160","bangor","sub73082",19,"M",NA,NA
"161","bangor","sub77520",23,"M",NA,NA
"162","bangor","sub81464",38,"M",NA,NA
"163","bangor","sub82625",21,"M",NA,NA
"164","bangor","sub87568",21,"M",NA,NA
"165","bangor","sub91556",22,"M",NA,NA
"166","beijing","sub00440",24,"F",NA,"closed"
"167","beijing","sub01018",18,"M",NA,"closed"
"168","beijing","sub01244",25,"F",NA,"closed"
"169","beijing","sub02403",20,"M",NA,"closed"
"170","beijing","sub04050",21,"F",NA,"closed"
"171","beijing","sub04191",24,"M",NA,"closed"
"172","beijing","sub05267",19,"F",NA,"closed"
"173","beijing","sub06880",18,"M",NA,"closed"
"174","beijing","sub06899",19,"F",NA,"closed"
"175","beijing","sub07144",20,"M",NA,"closed"
"176","beijing","sub07716",23,"M",NA,"closed"
"177","beijing","sub07717",22,"F",NA,"closed"
"178","beijing","sub08001",21,"F",NA,"closed"
"179","beijing","sub08251",24,"M",NA,"closed"
"180","beijing","sub08455",25,"M",NA,"closed"
"181","beijing","sub08816",21,"F",NA,"closed"
"182","beijing","sub08992",20,"F",NA,"closed"
"183","beijing","sub10186",19,"M",NA,"closed"
"184","beijing","sub10277",22,"F",NA,"closed"
"185","beijing","sub10869",23,"F",NA,"closed"
"186","beijing","sub10973",21,"M",NA,"closed"
"187","beijing","sub11072",25,"F",NA,"closed"
"188","beijing","sub11344",21,"F",NA,"closed"
"189","beijing","sub12220",22,"F",NA,"closed"
"190","beijing","sub14238",20,"M",NA,"closed"
"191","beijing","sub15441",19,"F",NA,"closed"
"192","beijing","sub16091",23,"F",NA,"closed"
"193","beijing","sub16943",26,"F",NA,"closed"
"194","beijing","sub17093",23,"F",NA,"closed"
"195","beijing","sub17159",19,"M",NA,"closed"
"196","beijing","sub17315",20,"F",NA,"closed"
"197","beijing","sub17586",19,"M",NA,"closed"
"198","beijing","sub17603",21,"M",NA,"closed"
"199","beijing","sub17642",24,"M",NA,"closed"
"200","beijing","sub17688",19,"F",NA,"closed"
"201","beijing","sub18326",21,"F",NA,"closed"
"202","beijing","sub18758",20,"M",NA,"closed"
"203","beijing","sub18960",23,"M",NA,"closed"
"204","beijing","sub19642",21,"F",NA,"closed"
"205","beijing","sub19974",21,"F",NA,"closed"
"206","beijing","sub20127",21,"F",NA,"closed"
"207","beijing","sub20246",20,"F",NA,"closed"
"208","beijing","sub20765",20,"M",NA,"closed"
"209","beijing","sub20948",23,"F",NA,"closed"
"210","beijing","sub21115",21,"F",NA,"closed"
"211","beijing","sub22201",19,"M",NA,"closed"
"212","beijing","sub22595",21,"F",NA,"closed"
"213","beijing","sub22661",21,"F",NA,"closed"
"214","beijing","sub22715",19,"F",NA,"closed"
"215","beijing","sub22890",18,"M",NA,"closed"
"216","beijing","sub26713",21,"F",NA,"closed"
"217","beijing","sub28206",22,"M",NA,"closed"
"218","beijing","sub28403",20,"M",NA,"closed"
"219","beijing","sub28698",18,"F",NA,"closed"
"220","beijing","sub28792",20,"M",NA,"closed"
"221","beijing","sub28801",22,"F",NA,"closed"
"222","beijing","sub28907",23,"M",NA,"closed"
"223","beijing","sub28965",19,"F",NA,"closed"
"224","beijing","sub29590",21,"F",NA,"closed"
"225","beijing","sub29785",22,"F",NA,"closed"
"226","beijing","sub30272",23,"F",NA,"closed"
"227","beijing","sub30310",22,"F",NA,"closed"
"228","beijing","sub30556",22,"M",NA,"closed"
"229","beijing","sub30616",21,"M",NA,"closed"
"230","beijing","sub30988",23,"F",NA,"closed"
"231","beijing","sub31058",20,"M",NA,"closed"
"232","beijing","sub31729",22,"F",NA,"closed"
"233","beijing","sub32517",21,"M",NA,"closed"
"234","beijing","sub32587",20,"F",NA,"closed"
"235","beijing","sub33747",26,"F",NA,"closed"
"236","beijing","sub33943",20,"F",NA,"closed"
"237","beijing","sub33991",20,"F",NA,"closed"
"238","beijing","sub34895",22,"F",NA,"closed"
"239","beijing","sub34943",21,"F",NA,"closed"
"240","beijing","sub35309",22,"M",NA,"closed"
"241","beijing","sub35776",24,"M",NA,"closed"
"242","beijing","sub35806",22,"M",NA,"closed"
"243","beijing","sub36580",23,"M",NA,"closed"
"244","beijing","sub36942",23,"F",NA,"closed"
"245","beijing","sub37602",21,"F",NA,"closed"
"246","beijing","sub38602",20,"F",NA,"closed"
"247","beijing","sub39725",20,"M",NA,"closed"
"248","beijing","sub40037",20,"F",NA,"closed"
"249","beijing","sub40427",21,"F",NA,"closed"
"250","beijing","sub41170",20,"F",NA,"closed"
"251","beijing","sub41621",19,"F",NA,"closed"
"252","beijing","sub42512",20,"M",NA,"closed"
"253","beijing","sub42555",18,"F",NA,"closed"
"254","beijing","sub42843",20,"F",NA,"closed"
"255","beijing","sub43290",20,"M",NA,"closed"
"256","beijing","sub44573",19,"F",NA,"closed"
"257","beijing","sub45552",18,"F",NA,"closed"
"258","beijing","sub46058",25,"M",NA,"closed"
"259","beijing","sub46259",19,"M",NA,"closed"
"260","beijing","sub46541",21,"M",NA,"closed"
"261","beijing","sub48501",23,"F",NA,"closed"
"262","beijing","sub48563",20,"F",NA,"closed"
"263","beijing","sub48676",21,"M",NA,"closed"
"264","beijing","sub49782",19,"F",NA,"closed"
"265","beijing","sub50498",21,"F",NA,"closed"
"266","beijing","sub50873",22,"F",NA,"closed"
"267","beijing","sub50972",24,"F",NA,"closed"
"268","beijing","sub50985",19,"F",NA,"closed"
"269","beijing","sub51015",20,"F",NA,"closed"
"270","beijing","sub51586",22,"M",NA,"closed"
"271","beijing","sub52044",22,"F",NA,"closed"
"272","beijing","sub52259",21,"M",NA,"closed"
"273","beijing","sub53572",20,"M",NA,"closed"
"274","beijing","sub53998",20,"F",NA,"closed"
"275","beijing","sub54890",21,"F",NA,"closed"
"276","beijing","sub55301",23,"F",NA,"closed"
"277","beijing","sub55541",25,"M",NA,"closed"
"278","beijing","sub55736",19,"M",NA,"closed"
"279","beijing","sub55856",22,"F",NA,"closed"
"280","beijing","sub56136",22,"M",NA,"closed"
"281","beijing","sub56659",23,"F",NA,"closed"
"282","beijing","sub56703",21,"M",NA,"closed"
"283","beijing","sub56757",21,"M",NA,"closed"
"284","beijing","sub58029",26,"F",NA,"closed"
"285","beijing","sub58332",21,"M",NA,"closed"
"286","beijing","sub58614",19,"M",NA,"closed"
"287","beijing","sub59347",21,"M",NA,"closed"
"288","beijing","sub59448",20,"M",NA,"closed"
"289","beijing","sub61961",21,"F",NA,"closed"
"290","beijing","sub62083",20,"F",NA,"closed"
"291","beijing","sub62438",21,"M",NA,"closed"
"292","beijing","sub62843",19,"F",NA,"closed"
"293","beijing","sub62966",19,"M",NA,"closed"
"294","beijing","sub64923",21,"F",NA,"closed"
"295","beijing","sub65467",21,"M",NA,"closed"
"296","beijing","sub65659",21,"M",NA,"closed"
"297","beijing","sub66158",21,"F",NA,"closed"
"298","beijing","sub66528",22,"F",NA,"closed"
"299","beijing","sub66781",21,"M",NA,"closed"
"300","beijing","sub66889",23,"M",NA,"closed"
"301","beijing","sub67435",20,"F",NA,"closed"
"302","beijing","sub67844",20,"F",NA,"closed"
"303","beijing","sub68012",24,"F",NA,"closed"
"304","beijing","sub68597",19,"F",NA,"closed"
"305","beijing","sub69518",21,"F",NA,"closed"
"306","beijing","sub69696",18,"M",NA,"closed"
"307","beijing","sub71693",23,"M",NA,"closed"
"308","beijing","sub72654",22,"F",NA,"closed"
"309","beijing","sub72678",20,"F",NA,"closed"
"310","beijing","sub73098",20,"F",NA,"closed"
"311","beijing","sub73245",24,"F",NA,"closed"
"312","beijing","sub73279",20,"F",NA,"closed"
"313","beijing","sub73421",19,"F",NA,"closed"
"314","beijing","sub74386",20,"F",NA,"closed"
"315","beijing","sub74587",20,"F",NA,"closed"
"316","beijing","sub75878",24,"M",NA,"closed"
"317","beijing","sub76377",24,"M",NA,"closed"
"318","beijing","sub77440",24,"F",NA,"closed"
"319","beijing","sub80163",24,"F",NA,"closed"
"320","beijing","sub80551",20,"F",NA,"closed"
"321","beijing","sub80569",22,"M",NA,"closed"
"322","beijing","sub80927",19,"F",NA,"closed"
"323","beijing","sub81062",22,"F",NA,"closed"
"324","beijing","sub81074",20,"F",NA,"closed"
"325","beijing","sub82352",24,"F",NA,"closed"
"326","beijing","sub82426",23,"F",NA,"closed"
"327","beijing","sub82714",20,"F",NA,"closed"
"328","beijing","sub82826",20,"F",NA,"closed"
"329","beijing","sub82980",20,"M",NA,"closed"
"330","beijing","sub83430",18,"F",NA,"closed"
"331","beijing","sub83624",20,"F",NA,"closed"
"332","beijing","sub83728",21,"M",NA,"closed"
"333","beijing","sub85030",22,"M",NA,"closed"
"334","beijing","sub85543",20,"F",NA,"closed"
"335","beijing","sub85818",23,"F",NA,"closed"
"336","beijing","sub86114",22,"F",NA,"closed"
"337","beijing","sub87089",24,"F",NA,"closed"
"338","beijing","sub87776",21,"F",NA,"closed"
"339","beijing","sub88306",19,"F",NA,"closed"
"340","beijing","sub88947",21,"F",NA,"closed"
"341","beijing","sub89088",19,"F",NA,"closed"
"342","beijing","sub89238",22,"F",NA,"closed"
"343","beijing","sub89592",21,"M",NA,"closed"
"344","beijing","sub89742",21,"M",NA,"closed"
"345","beijing","sub89941",18,"M",NA,"closed"
"346","beijing","sub91145",21,"M",NA,"closed"
"347","beijing","sub91399",21,"M",NA,"closed"
"348","beijing","sub91952",22,"F",NA,"closed"
